2012-06-11 14:45:01 status installed libattr1 1:2.4.44-2
2012-06-11 14:45:01 configure e2fslibs 1.41.12-4stable1 1.41.12-4stable1
2012-06-11 14:45:01 status unpacked e2fslibs 1.41.12-4stable1
2012-06-11 14:45:01 status half-configured e2fslibs 1.41.12-4stable1
2012-06-11 14:45:01 status installed e2fslibs 1.41.12-4stable1
2012-06-11 14:45:01 configure base-passwd 3.5.22 3.5.22
2012-06-11 14:45:01 status unpacked base-passwd 3.5.22
2012-06-11 14:45:01 status half-configured base-passwd 3.5.22
2012-06-11 14:45:01 status installed base-passwd 3.5.22
2012-06-11 14:45:01 configure libcomerr2 1.41.12-4stable1 1.41.12-4stable1
2012-06-11 14:45:01 status unpacked libcomerr2 1.41.12-4stable1
2012-06-11 14:45:01 status half-configured libcomerr2 1.41.12-4stable1
2012-06-11 14:45:01 status installed libcomerr2 1.41.12-4stable1
2012-06-11 14:45:01 configure mawk 1.3.3-15 1.3.3-15
2012-06-11 14:45:01 status unpacked mawk 1.3.3-15
2012-06-11 14:45:01 status half-configured mawk 1.3.3-15
2012-06-11 14:45:01 status installed mawk 1.3.3-15
2012-06-11 14:45:02 configure libdb4.8 4.8.30-2 4.8.30-2
2012-06-11 14:45:02 status unpacked libdb4.8 4.8.30-2
2012-06-11 14:45:02 status half-configured libdb4.8 4.8.30-2
2012-06-11 14:45:02 status installed libdb4.8 4.8.30-2
2012-06-11 14:45:02 configure hostname 3.04 3.04
2012-06-11 14:45:02 status unpacked hostname 3.04
2012-06-11 14:45:02 status half-configured hostname 3.04
2012-06-11 14:45:02 status installed hostname 3.04
2012-06-11 14:45:02 configure libacl1 2.2.49-4 2.2.49-4
2012-06-11 14:45:02 status unpacked libacl1 2.2.49-4
